"region";"ålder";"kön";"2023"
"Järfälla (Stäket)";"totalt";"totalt";2651
"Järfälla (Tallbohov)";"totalt";"män";1771
"Järfälla (Tallbohov)";"totalt";"kvinnor";1678
"Järfälla (Tallbohov)";"totalt";"totalt";3449
"Järfälla (Ulvsättra)";"totalt";"män";915
"Järfälla (Ulvsättra)";"totalt";"kvinnor";931
"Järfälla (Ulvsättra)";"totalt";"totalt";1846
"Järfälla (Vibblaby)";"totalt";"män";2870
"Järfälla (Vibblaby)";"totalt";"kvinnor";2766
"Järfälla (Vibblaby)";"totalt";"totalt";5636
"Järfälla (Viksjö västra)";"totalt";"män";2970
"Järfälla (Viksjö västra)";"totalt";"kvinnor";2811
"Järfälla (Viksjö västra)";"totalt";"totalt";5781
"Järfälla (Ålsta)";"totalt";"män";679
"Järfälla (Ålsta)";"totalt";"kvinnor";661
"Järfälla (Ålsta)";"totalt";"totalt";1340
"Ekerö (Adelsö-Munsö-Västra Ekerön)";"totalt";"män";1261
"Ekerö (Adelsö-Munsö-Västra Ekerön)";"totalt";"kvinnor";1148
"Ekerö (Adelsö-Munsö-Västra Ekerön)";"totalt";"totalt";2409
"Ekerö (Ekebyhov-Träkvista-Väsby)";"totalt";"män";1951
"Ekerö (Ekebyhov-Träkvista-Väsby)";"totalt";"kvinnor";2057
"Ekerö (Ekebyhov-Träkvista-Väsby)";"totalt";"totalt";4008
"Ekerö (Ekerö centrum-Östra Ekerön)";"totalt";"män";1423
"Ekerö (Ekerö centrum-Östra Ekerön)";"totalt";"kvinnor";1421
"Ekerö (Ekerö centrum-Östra Ekerön)";"totalt";"totalt";2844
"Ekerö (Färingsö omland)";"totalt";"män";1025
"Ekerö (Färingsö omland)";"totalt";"kvinnor";930
"Ekerö (Färingsö omland)";"totalt";"totalt";1955
"Ekerö (Kungsberga-Färentuna-Hilleshög)";"totalt";"män";1099
"Ekerö (Kungsberga-Färentuna-Hilleshög)";"totalt";"kvinnor";1047
"Ekerö (Kungsberga-Färentuna-Hilleshög)";"totalt";"totalt";2146
"Ekerö (Lovön)";"totalt";"män";493
"Ekerö (Lovön)";"totalt";"kvinnor";483
"Ekerö (Lovön)";"totalt";"totalt";976
"Ekerö (Stenhamra)";"totalt";"män";1842
"Ekerö (Stenhamra)";"totalt";"kvinnor";1874
"Ekerö (Stenhamra)";"totalt";"totalt";3716
"Ekerö (Sundby-Ekerö sommarstad)";"totalt";"män";826
"Ekerö (Sundby-Ekerö sommarstad)";"totalt";"kvinnor";769
"Ekerö (Sundby-Ekerö sommarstad)";"totalt";"totalt";1595
"Ekerö (Södra Färingsö)";"totalt";"män";779
"Ekerö (Södra Färingsö)";"totalt";"kvinnor";757
"Ekerö (Södra Färingsö)";"totalt";"totalt";1536
"Ekerö (Västra Sandudden-Lundhagen-Skärvik)";"totalt";"män";1540
"Ekerö (Västra Sandudden-Lundhagen-Skärvik)";"totalt";"kvinnor";1464
"Ekerö (Västra Sandudden-Lundhagen-Skärvik)";"totalt";"totalt";3004
"Ekerö (Älvnäs-Brunna-Närlunda)";"totalt";"män";2300
"Ekerö (Älvnäs-Brunna-Närlunda)";"totalt";"kvinnor";2319
"Ekerö (Älvnäs-Brunna-Närlunda)";"totalt";"totalt";4619
"Huddinge (Flemingsberg västra)";"totalt";"män";3581
"Huddinge (Flemingsberg västra)";"totalt";"kvinnor";3479
"Huddinge (Flemingsberg västra)";"totalt";"totalt";7060
"Huddinge (Flemingsberg östra)";"totalt";"män";3339
"Huddinge (Flemingsberg östra)";"totalt";"kvinnor";3361
"Huddinge (Flemingsberg östra)";"totalt";"totalt";6700
"Huddinge (Flemingsberg-Kästa)";"totalt";"män";776
"Huddinge (Flemingsberg-Kästa)";"totalt";"kvinnor";716
"Huddinge (Flemingsberg-Kästa)";"totalt";"totalt";1492
"Huddinge (Fullersta norra)";"totalt";"män";2868
"Huddinge (Fullersta norra)";"totalt";"kvinnor";2671
"Huddinge (Fullersta norra)";"totalt";"totalt";5539
"Huddinge (Fullersta södra)";"totalt";"män";1757
"Huddinge (Fullersta södra)";"totalt";"kvinnor";2034
"Huddinge (Fullersta södra)";"totalt";"totalt";3791
"Huddinge (Gladö-Lissma)";"totalt";"män";933
"Huddinge (Gladö-Lissma)";"totalt";"kvinnor";836
"Huddinge (Gladö-Lissma)";"totalt";"totalt";1769
"Huddinge (Glömsta-Loviseberg)";"totalt";"män";2588
"Huddinge (Glömsta-Loviseberg)";"totalt";"kvinnor";2435
"Huddinge (Glömsta-Loviseberg)";"totalt";"totalt";5023
"Huddinge (Högmora-Vidja-Ågesta)";"totalt";"män";2378
"Huddinge (Högmora-Vidja-Ågesta)";"totalt";"kvinnor";2229
"Huddinge (Högmora-Vidja-Ågesta)";"totalt";"totalt";4607
"Huddinge (Kungens Kurva-Kråkvik)";"totalt";"män";1212
"Huddinge (Kungens Kurva-Kråkvik)";"totalt";"kvinnor";1175
"Huddinge (Kungens Kurva-Kråkvik)";"totalt";"totalt";2387
"Huddinge (Länna)";"totalt";"män";1556
"Huddinge (Länna)";"totalt";"kvinnor";1292
"Huddinge (Länna)";"totalt";"totalt";2848
"Huddinge (Segeltorp)";"totalt";"män";3684
"Huddinge (Segeltorp)";"totalt";"kvinnor";3530
"Huddinge (Segeltorp)";"totalt";"totalt";7214
"Huddinge (Sjödalen centrala-norra)";"totalt";"män";3457
"Huddinge (Sjödalen centrala-norra)";"totalt";"kvinnor";3745
"Huddinge (Sjödalen centrala-norra)";"totalt";"totalt";7202
"Huddinge (Sjödalen södra)";"totalt";"män";4566
"Huddinge (Sjödalen södra)";"totalt";"kvinnor";4440
"Huddinge (Sjödalen södra)";"totalt";"totalt";9006
"Huddinge (Skogås västra)";"totalt";"män";3466
"Huddinge (Skogås västra)";"totalt";"kvinnor";3346
"Huddinge (Skogås västra)";"totalt";"totalt";6812
"Huddinge (Skogås östra)";"totalt";"män";2562
"Huddinge (Skogås östra)";"totalt";"kvinnor";2612
"Huddinge (Skogås östra)";"totalt";"totalt";5174
"Huddinge (Snättringe)";"totalt";"män";4573
"Huddinge (Snättringe)";"totalt";"kvinnor";4510
"Huddinge (Snättringe)";"totalt";"totalt";9083
"Huddinge (Stuvsta)";"totalt";"män";4190
"Huddinge (Stuvsta)";"totalt";"kvinnor";4014
"Huddinge (Stuvsta)";"totalt";"totalt";8204
"Huddinge (Trångsund)";"totalt";"män";2930
"Huddinge (Trångsund)";"totalt";"kvinnor";2778
"Huddinge (Trångsund)";"totalt";"totalt";5708
"Huddinge (Trångsund centrala)";"totalt";"män";1859
"Huddinge (Trångsund centrala)";"totalt";"kvinnor";1905
"Huddinge (Trångsund centrala)";"totalt";"totalt";3764
"Huddinge (Vårby gård)";"totalt";"män";3497
"Huddinge (Vårby gård)";"totalt";"kvinnor";3316
"Huddinge (Vårby gård)";"totalt";"totalt";6813
"Huddinge (Vårby Haga-Masmo)";"totalt";"män";1452
"Huddinge (Vårby Haga-Masmo)";"totalt";"kvinnor";1329
"Huddinge (Vårby Haga-Masmo)";"totalt";"totalt";2781
"Huddinge (Vårby Udde-Duvberget)";"totalt";"män";489
"Huddinge (Vårby Udde-Duvberget)";"totalt";"kvinnor";454
